,Mean hemoglobin level of women of reproductive age (aged 15-49 years),"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",Mean BMI (kg/m²) (age-standardized estimate),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Maternal Disorders,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of pregnant women (aged 15-49 years)
697,129.0,58.4,26.1,0.7,1.65806,9.068587998177214e-07,21.1,118.0
698,129.0,59.2,26.2,0.7,1.59338,6.758111423235739e-07,20.9,118.0
699,129.0,60.0,26.3,0.7,1.53431,1.1158173808641785e-06,20.8,118.0
700,129.0,60.8,26.4,0.7,1.48084,8.893278215759378e-07,20.7,118.0
701,129.0,61.5,26.5,0.6,1.43236,8.895077886413858e-07,20.7,119.0
702,129.0,62.2,26.7,0.6,1.38813,8.896987124280233e-07,20.7,119.0
703,129.0,62.8,26.8,0.6,1.34839,1.1124091690103273e-06,20.6,119.0
704,129.0,63.5,26.9,0.6,1.31302,1.3353179124886054e-06,20.6,119.0
705,129.0,64.1,27.0,0.5,1.28133,8.905625527797463e-07,20.5,119.0
706,129.0,64.7,27.1,0.5,1.25158,1.11373234205215e-06,20.4,119.0
707,129.0,65.4,27.2,0.5,1.22484,8.914878732018968e-07,20.4,119.0
708,129.0,66.0,27.4,0.5,1.19964,8.920996546682237e-07,20.4,119.0
709,129.0,66.6,27.5,0.5,1.17771,6.696364298289102e-07,20.4,119.0
710,129.0,67.2,27.6,0.5,1.15893,6.702995412246507e-07,20.4,119.0
711,129.0,67.8,27.7,0.4,1.14084,4.473738484037925e-07,20.4,119.0
712,129.0,68.4,27.8,0.4,1.12413,4.479439819173973e-07,20.4,119.0
713,129.0,68.9,28.0,0.4,1.1077,2.242890206262912e-07,20.5,119.0
714,129.0,69.4,27.011764705882356,0.5529411764705883,1.09203,4.492782793720168e-07,20.5,119.0
715,129.0,69.9,27.011764705882356,0.5529411764705883,1.07636,4.492782793720168e-07,20.7,119.0
716,129.0,70.3,27.011764705882356,0.5529411764705883,1.05893,4.508642504100048e-07,20.9,119.0
717,131.0,45.8,26.7,0.7,1.9574,1.0873347251217816e-06,12.2,119.0
718,131.0,46.6,26.8,0.7,1.9641,1.0722342789010028e-06,12.0,119.0
719,131.0,47.4,26.9,0.7,1.9577,1.0561736518471422e-06,11.9,119.0
720,131.0,48.3,27.0,0.7,1.93687,1.0366432661726717e-06,11.8,120.0
721,131.0,49.2,27.1,0.6,1.90021,1.0129751993281948e-06,11.8,120.0
722,131.0,50.1,27.1,0.6,1.84815,9.893741219304668e-07,11.8,120.0
723,131.0,51.1,27.2,0.6,1.7836,9.699038825252417e-07,11.8,120.0
724,131.0,52.0,27.3,0.6,1.70997,9.533742775806412e-07,11.7,120.0
725,131.0,53.0,27.3,0.6,1.62917,9.373678897130436e-07,11.7,120.0
726,131.0,53.9,27.4,0.6,1.54588,9.21873098636734e-07,11.6,120.0
727,131.0,54.9,27.4,0.5,1.46413,9.068838834944412e-07,11.7,120.0
728,131.0,55.8,27.4,0.5,1.38393,8.924674851783462e-07,11.7,120.0
729,131.0,56.7,27.4,0.5,1.30639,8.786798011723346e-07,11.8,120.0
730,131.0,57.5,27.5,0.5,1.23205,0.0,11.9,120.0
731,131.0,58.3,27.5,0.5,1.16082,0.0,12.1,119.0
732,131.0,59.1,27.5,0.5,1.09308,0.0,12.3,119.0
733,131.0,59.9,27.5,0.5,1.03113,0.0,12.5,119.0
734,131.0,60.6,27.235294117647054,0.5823529411764706,0.97532,0.0,12.8,119.0
735,131.0,61.2,27.235294117647054,0.5823529411764706,0.92741,0.0,13.1,119.0
736,131.0,61.8,27.235294117647054,0.5823529411764706,0.88628,0.0,13.4,119.0
737,131.0,35.4,25.5,1.0,1.33029,1.873565785391283e-07,12.0,120.0
738,131.0,36.2,25.6,1.0,1.27459,5.601376893125355e-07,12.0,120.0
739,131.0,37.1,25.7,1.0,1.21944,5.581714155580607e-07,11.9,120.0
740,131.0,37.9,25.7,0.9,1.16604,3.707728649137267e-07,11.7,120.0
741,131.0,38.9,25.8,0.9,1.11362,1.847270620712485e-07,11.5,120.0
742,131.0,39.8,25.9,0.9,1.06283,1.840829035764547e-07,11.4,120.0
743,131.0,40.8,25.9,0.9,1.01405,7.338559488473049e-07,11.4,120.0
744,131.0,41.8,26.0,0.8,0.96758,3.657564208539681e-07,11.3,120.0
745,131.0,42.9,26.0,0.8,0.92364,5.469738398821599e-07,11.2,120.0
746,131.0,44.0,26.1,0.8,0.88226,5.454039716317214e-07,11.1,120.0
747,131.0,45.1,26.1,0.8,0.84291,1.813047597032041e-07,11.1,120.0
748,131.0,46.2,26.1,0.7,0.80567,3.6167097778472185e-07,11.2,120.0
749,131.0,47.3,26.1,0.7,0.77089,1.803929788887901e-07,11.3,120.0
750,131.0,48.3,26.1,0.7,0.73882,1.7997095988591285e-07,11.3,120.0
751,131.0,49.3,26.1,0.7,0.7088,3.591259377451596e-07,11.4,120.0
752,131.0,50.4,26.1,0.7,0.68097,1.7916321105623348e-07,11.5,120.0
753,131.0,51.3,26.2,0.7,0.65507,1.78769831160833e-07,11.6,120.0
754,131.0,52.3,25.94117647058824,0.8235294117647058,0.63052,1.783819614452364e-07,11.8,120.0
755,131.0,53.2,25.94117647058824,0.8235294117647058,0.60725,1.783819614452364e-07,11.9,120.0
756,131.0,54.1,25.94117647058824,0.8235294117647058,0.58391,1.776136469800885e-07,12.1,120.0
757,123.0,20.0,22.9,11.5,22.0221,0.0001688038529105,36.7,112.0
758,123.0,20.5,23.0,11.3,21.54359,0.0001673905828366,36.1,112.0
759,124.0,21.0,23.0,11.2,21.02992,0.0001661196815527,35.3,113.0
760,124.0,21.5,23.0,11.0,20.49218,0.0001650315514268,34.5,113.0
761,124.0,22.0,23.1,10.8,19.96225,0.0001947025690091,33.7,113.0
762,125.0,22.5,23.1,10.6,19.42509,0.0001920768307322,32.8,113.0
763,125.0,23.0,23.1,10.5,18.89018,0.0001840560354918,32.2,114.0
764,125.0,23.5,23.2,10.3,18.36033,0.0001929781862642,31.8,114.0
765,125.0,24.1,23.2,10.1,17.84358,0.0001931764984574,31.2,114.0
766,126.0,24.7,23.2,10.0,17.33358,0.0001849240017553,30.8,114.0
767,126.0,25.4,23.2,9.8,16.8357,0.0001904046842253,30.5,114.0
768,126.0,26.1,23.3,9.6,16.34423,0.0001902059772228,30.5,114.0
769,126.0,26.8,23.3,9.5,15.85203,0.0001859530546017,30.6,114.0
770,126.0,27.6,23.3,9.3,15.39426,0.0001805104279485,30.7,114.0
771,125.0,28.4,23.3,9.2,14.94714,0.0001616926629794,30.8,114.0
772,125.0,29.3,23.4,9.0,14.47546,0.0001605651894669,31.0,114.0
773,125.0,30.2,23.4,8.9,14.03497,0.0001535396197177,31.2,114.0
774,125.0,31.1,23.176470588235293,10.152941176470588,13.61768,0.0001525540671261,31.5,114.0
775,125.0,32.0,23.176470588235293,10.152941176470588,13.19898,0.000157176917645,31.7,114.0
776,125.0,32.9,23.176470588235293,10.152941176470588,12.80593,0.0001484119916889,32.1,114.0
777,126.0,41.3,24.8,1.8,5.08175,2.0328080760813373e-05,24.8,117.0
778,126.0,42.0,24.9,1.7,4.99541,1.670742301302617e-05,23.9,117.0
779,126.0,42.8,25.0,1.7,4.91119,1.948971406952324e-05,23.1,117.0
780,127.0,43.5,25.1,1.6,4.82921,2.0115982790814967e-05,22.4,118.0
781,127.0,44.3,25.2,1.5,4.74838,1.9224442599629365e-05,21.7,118.0
782,127.0,45.0,25.3,1.5,4.67043,1.9542803790689105e-05,21.1,118.0
783,127.0,45.6,25.4,1.4,4.59364,1.9831779089501467e-05,20.4,118.0
784,128.0,46.2,25.5,1.4,4.51193,1.9879793046402125e-05,19.7,119.0
785,128.0,46.8,25.6,1.3,4.42215,1.9924108652155647e-05,19.0,119.0
786,128.0,47.3,25.8,1.3,4.32333,2.044863341028104e-05,18.5,119.0
787,128.0,47.8,25.9,1.2,4.21676,2.0959246570526377e-05,18.0,119.0
788,128.0,48.3,26.0,1.2,4.11575,1.9790311982607448e-05,17.5,120.0
789,129.0,48.7,26.1,1.2,4.00312,2.0494387690755456e-05,17.0,120.0
790,129.0,49.1,26.2,1.1,3.89188,1.949553963427016e-05,16.8,120.0
791,129.0,49.5,26.4,1.1,3.78814,1.858900983243637e-05,16.7,120.0
792,129.0,49.8,26.5,1.1,3.68944,1.651080550296325e-05,16.7,120.0
793,129.0,50.0,26.6,1.0,3.58707,1.6230557999121683e-05,16.7,119.0
794,129.0,50.3,25.66470588235294,1.3588235294117648,3.49067,1.6389504995821905e-05,16.7,119.0
795,129.0,50.5,25.66470588235294,1.3588235294117648,3.39661,1.6082585426611755e-05,16.8,119.0
796,129.0,50.7,25.66470588235294,1.3588235294117648,3.29368,1.5745434991289722e-05,17.0,119.0
797,123.0,36.6,26.4,3.0,5.82564,1.7986895595033824e-05,35.9,116.0
798,123.0,37.3,26.5,2.9,5.5314,1.724394735945597e-05,35.6,116.0
799,123.0,38.0,26.5,2.8,5.28409,1.617097245759971e-05,35.5,116.0
800,123.0,38.8,26.6,2.7,5.09761,1.5265779377172317e-05,35.4,116.0
801,123.0,39.5,26.7,2.6,4.98438,1.4209373556178372e-05,35.1,116.0
802,123.0,40.2,26.8,2.5,4.94672,1.3688336456608276e-05,34.8,116.0
803,124.0,40.9,26.8,2.5,4.9867,1.3292741304954756e-05,34.4,116.0
804,124.0,41.5,26.9,2.4,5.07738,1.2540214578531976e-05,34.0,116.0
805,124.0,42.1,27.0,2.3,5.17385,1.238567388833853e-05,33.5,116.0
806,124.0,42.7,27.1,2.2,5.24028,1.2628915103157949e-05,32.8,116.0
807,124.0,43.1,27.2,2.2,5.2619,1.26379562786858e-05,32.2,116.0
808,124.0,43.5,27.3,2.1,5.23136,1.1635042418318837e-05,31.7,117.0
809,125.0,43.7,27.4,2.0,5.15097,1.1518953218710986e-05,31.2,117.0
810,125.0,43.9,27.5,2.0,5.03318,1.0446174275670953e-05,30.9,117.0
811,125.0,44.0,27.6,1.9,4.89104,9.931515582881685e-06,30.5,117.0
812,125.0,44.1,27.7,1.8,4.74289,9.831909160572842e-06,29.9,117.0
813,125.0,44.1,27.8,1.8,4.60546,9.082047886773996e-06,29.4,117.0
814,125.0,44.0,27.04705882352941,2.335294117647059,4.48413,8.632051043423997e-06,29.0,117.0
815,125.0,43.9,27.04705882352941,2.335294117647059,4.38338,8.3919687135184e-06,28.7,117.0
816,126.0,43.8,27.04705882352941,2.335294117647059,4.29934,7.927630759460693e-06,28.4,117.0
817,135.0,45.6,25.5,3.1,3.7795,1.3333739043683724e-05,11.1,122.0
818,135.0,46.2,25.6,2.9,5.26583,9.177901381070204e-06,10.8,122.0
819,135.0,46.9,25.7,2.8,3.55134,9.658021325588844e-06,10.7,122.0
820,135.0,47.6,25.8,2.7,3.46603,9.96647716283112e-06,10.5,122.0
821,135.0,48.4,25.9,2.6,3.39771,1.0783267940114448e-05,10.4,122.0
822,135.0,49.2,26.0,2.5,3.34312,1.1416634809218798e-05,10.3,122.0
823,135.0,50.1,26.1,2.4,3.2987,1.17235395107566e-05,10.2,122.0
824,135.0,51.0,26.1,2.3,3.25995,1.1200731825725977e-05,10.1,122.0
825,135.0,51.9,26.2,2.2,3.22434,1.0655214087391736e-05,10.0,122.0
826,135.0,52.8,26.3,2.1,3.19059,1.2104939544947132e-05,9.9,122.0
827,135.0,53.7,26.4,2.0,3.15908,1.140106912286453e-05,9.8,122.0
828,135.0,54.7,26.5,1.9,3.13288,1.1693452358404644e-05,9.7,122.0
829,135.0,55.6,26.5,1.8,3.11831,9.358613191441433e-06,9.7,122.0
830,135.0,56.4,26.6,1.8,3.12049,8.840010542531092e-06,9.6,122.0
831,134.0,57.3,26.7,1.7,3.13788,8.652337959667699e-06,9.7,122.0
832,134.0,58.1,26.8,1.6,3.16677,8.304363047212746e-06,9.7,121.0
833,134.0,59.0,26.8,1.6,3.2001,8.121273350691202e-06,9.8,121.0
834,134.0,59.7,26.205882352941178,2.235294117647059,3.22273,7.615022073032598e-06,9.9,121.0
835,134.0,60.5,26.205882352941178,2.235294117647059,3.22294,7.290978580563126e-06,10.1,121.0
836,134.0,61.2,26.205882352941178,2.235294117647059,3.2014,7.09410818192518e-06,10.4,121.0
837,115.0,19.9,21.4,19.5,30.62983,0.000174980619879,56.3,106.0
838,115.0,20.4,21.4,19.4,29.82101,0.0001601046807888,55.4,106.0
839,115.0,20.9,21.5,19.2,28.96256,0.0001420989162077,54.6,106.0
840,115.0,21.4,21.6,19.0,28.12889,0.0001399444327305,53.9,107.0
841,116.0,22.0,21.6,18.8,27.24702,0.0001378272263177,53.1,107.0
842,116.0,22.6,21.7,18.6,26.37883,0.0001339839783369,52.4,107.0
843,116.0,23.2,21.8,18.5,25.49938,0.0001285666532385,51.6,107.0
844,117.0,23.9,21.8,18.3,24.5706,0.0001217147439905,50.8,107.0
845,117.0,24.6,21.9,18.1,23.68444,0.0001167960886287,49.9,108.0
846,117.0,25.3,21.9,17.9,22.81229,0.0001136648874954,49.1,108.0
847,118.0,26.1,22.0,17.7,22.00941,0.0001106497290618,48.3,108.0
848,118.0,26.9,22.0,17.5,21.27993,0.0001107411425792,47.6,108.0
849,118.0,27.7,22.1,17.3,20.57331,0.0001034999001444,46.9,109.0
850,119.0,28.6,22.1,17.1,19.8818,9.090896177704293e-05,46.4,109.0
851,119.0,29.5,22.2,17.0,19.24676,8.44578223173565e-05,45.8,109.0
852,119.0,30.4,22.3,16.8,18.58378,8.234974883326606e-05,45.4,109.0
853,119.0,31.3,22.3,16.6,17.96602,7.900443873271614e-05,45.0,110.0
854,119.0,32.3,21.858823529411765,18.076470588235296,17.35659,7.323108389712703e-05,44.6,110.0
855,120.0,33.2,21.858823529411765,18.076470588235296,16.77065,7.19463280392827e-05,44.3,110.0
856,120.0,34.2,21.858823529411765,18.076470588235296,16.22273,6.856560749128237e-05,44.2,110.0
857,121.0,19.9,20.2,20.6,19.58374,0.0001891687771453,40.8,111.0
858,121.0,20.4,20.2,20.5,18.23672,0.0001802677783333,40.3,111.0
859,121.0,20.9,20.2,20.3,16.99123,0.0001919907240735,39.9,111.0
860,122.0,21.4,20.2,20.2,15.84801,0.0001882969909502,39.5,111.0
861,122.0,21.9,20.2,20.0,14.84232,0.0001858441757719,39.1,111.0
862,122.0,22.5,20.3,19.9,13.92821,0.0001810807324183,38.7,112.0
863,122.0,23.0,20.3,19.7,13.09648,0.0001775875328182,38.2,112.0
864,122.0,23.6,20.3,19.5,12.37292,0.0001732094288643,37.6,112.0
865,123.0,24.2,20.3,19.4,11.67564,0.0001710279086285,37.1,112.0
866,123.0,24.8,20.3,19.2,11.04054,0.0001664551152011,36.6,112.0
867,123.0,25.5,20.3,19.0,10.47852,0.0001598485340197,36.2,112.0
868,123.0,26.2,20.3,18.8,10.00196,0.0001533803273146,35.9,112.0
869,123.0,27.0,20.3,18.6,9.57686,0.0001490184416482,35.7,113.0
870,123.0,27.8,20.3,18.5,9.21532,0.0001446977885622,35.7,113.0
871,123.0,28.6,20.2,18.3,8.86537,0.0001390107169896,35.7,113.0
872,123.0,29.5,20.2,18.1,8.56973,0.0001352699247773,35.9,113.0
873,123.0,30.5,20.2,17.9,8.26857,0.0001304968814841,36.1,113.0
874,123.0,31.4,20.25294117647059,19.323529411764707,8.00051,0.0001268088215546,36.2,113.0
875,123.0,32.3,20.25294117647059,19.323529411764707,7.74577,0.0001260758225861,36.4,113.0
876,123.0,33.3,20.25294117647059,19.323529411764707,7.48987,0.0001217279978049,36.7,113.0
877,129.0,33.2,25.6,1.1,3.11875,2.898897331927368e-06,21.6,118.0
878,129.0,33.8,25.7,1.1,2.9412,7.299360649000754e-07,21.3,118.0
879,129.0,34.4,25.8,1.0,2.77089,7.352281633559342e-07,21.2,118.0
880,129.0,34.9,25.9,1.0,2.61075,2.2210343801315148e-06,21.1,118.0
881,129.0,35.5,26.0,1.0,2.4595,2.2360292890023134e-06,20.9,118.0
882,129.0,36.0,26.1,0.9,2.3207,1.5004955386516398e-06,20.8,119.0
883,129.0,36.6,26.2,0.9,2.19172,7.550970941598525e-07,20.8,119.0
884,129.0,37.2,26.3,0.9,2.07175,0.0,20.6,119.0
885,129.0,37.8,26.4,0.8,1.96042,0.0,20.4,119.0
886,129.0,38.5,26.4,0.8,1.85822,0.0,20.4,119.0
887,129.0,39.3,26.5,0.8,1.76268,7.74491352804046e-07,20.5,119.0
888,129.0,40.1,26.6,0.8,1.67305,7.794457049813595e-07,20.6,119.0
889,129.0,40.9,26.6,0.7,1.58893,7.844927744293011e-07,20.7,119.0
890,129.0,41.8,26.7,0.7,1.50862,7.896555127825487e-07,20.7,119.0
891,128.0,42.7,26.8,0.7,1.43365,0.0,21.0,119.0
892,128.0,43.5,26.8,0.7,1.36386,0.0,21.1,119.0
893,128.0,44.5,26.9,0.7,1.29688,8.061226628488698e-07,21.2,119.0
894,128.0,45.3,26.311764705882357,0.8588235294117647,1.23175,8.120402836943935e-07,21.3,119.0
895,128.0,46.2,26.311764705882357,0.8588235294117647,1.17072,0.0,21.4,119.0
896,128.0,47.1,26.311764705882357,0.8588235294117647,1.11526,0.0,21.7,119.0
897,125.0,19.5,19.7,19.8,42.25764,0.000239585578198,32.4,115.0
898,125.0,19.9,19.7,19.6,39.74553,0.000222057276047,31.5,115.0
899,125.0,20.4,19.8,19.5,37.313,0.0002094379138675,30.6,115.0
900,126.0,20.8,19.8,19.3,34.93324,0.0001989879666994,29.7,115.0
901,126.0,21.3,19.8,19.2,32.62172,0.0001893244575149,28.7,116.0
902,127.0,21.7,19.9,19.0,30.30475,0.0001797005442603,27.6,116.0
903,127.0,22.2,19.9,18.9,28.03334,0.0001658928788266,26.5,117.0
904,128.0,22.6,19.9,18.7,25.87052,0.0001509211141941,25.4,117.0
905,128.0,23.1,19.9,18.6,23.8208,0.0001376706284729,24.3,117.0
906,129.0,23.6,19.9,18.4,21.89475,0.0001254379888174,23.3,118.0
907,129.0,24.1,20.0,18.2,20.0838,0.0001133008158931,22.6,118.0
908,129.0,24.7,20.0,18.1,18.46037,0.0001034842454369,22.0,118.0
909,129.0,25.3,20.0,17.9,16.94151,9.230835612759922e-05,21.8,118.0
910,129.0,25.9,20.0,17.7,15.56515,8.401620942820484e-05,21.6,118.0
911,129.0,26.5,20.0,17.5,14.31815,7.862450776135355e-05,21.7,118.0
912,129.0,27.2,20.0,17.3,13.2655,7.511572300943818e-05,21.9,118.0
913,129.0,27.9,20.1,17.2,12.41915,7.24916116849336e-05,22.2,118.0
914,128.0,28.6,19.905882352941177,18.523529411764702,11.74034,6.969576681886111e-05,22.5,118.0
915,128.0,29.3,19.905882352941177,18.523529411764702,11.16447,6.9531798213092e-05,22.9,117.0
916,128.0,30.1,19.905882352941177,18.523529411764702,10.65239,6.537282479932238e-05,23.5,117.0
917,123.0,35.8,25.1,3.1,8.03507,2.608912791499417e-05,34.1,111.0
918,123.0,36.4,25.2,3.0,7.64848,2.466918621288521e-05,33.6,111.0
919,123.0,37.0,25.3,2.9,7.27287,2.4489725947721785e-05,33.1,111.0
920,123.0,37.5,25.3,2.8,6.91943,2.551088585943745e-05,32.7,111.0
921,123.0,38.1,25.4,2.7,6.59095,2.41015543092374e-05,32.5,111.0
922,123.0,38.6,25.5,2.6,6.29563,2.5102861965338923e-05,32.2,111.0
923,123.0,39.1,25.6,2.5,6.03474,2.369822678018117e-05,31.9,111.0
924,123.0,39.6,25.7,2.4,5.80571,2.347103791276754e-05,31.7,111.0
925,124.0,40.1,25.8,2.4,5.60784,2.324135566827613e-05,31.4,111.0
926,124.0,40.6,25.9,2.3,5.44113,2.187684945733899e-05,31.1,112.0
927,124.0,41.1,26.0,2.2,5.29957,2.054834397471184e-05,31.0,112.0
928,124.0,41.6,26.1,2.1,5.18714,1.8117480537862705e-05,30.9,112.0
929,124.0,42.0,26.2,2.1,5.09819,1.7976376793845787e-05,30.9,112.0
930,124.0,42.5,26.3,2.0,5.02992,1.7842048802463985e-05,30.8,112.0
931,124.0,43.0,26.4,1.9,4.97572,1.7714654558700275e-05,30.8,112.0
932,124.0,43.4,26.5,1.9,4.93705,1.7594230851703728e-05,30.8,112.0
933,124.0,43.9,26.6,1.8,4.9058,1.7480550156614803e-05,31.0,112.0
934,124.0,44.4,25.81764705882353,2.394117647058824,4.87321,1.737359083890555e-05,31.1,112.0
935,124.0,44.8,25.81764705882353,2.394117647058824,4.83227,1.6287741411473954e-05,31.2,112.0
936,124.0,45.3,25.81764705882353,2.394117647058824,4.77097,1.6106604244627107e-05,31.5,113.0
937,132.0,51.2,26.1,0.4,1.42337,7.739047071786433e-07,10.3,120.0
938,132.0,52.0,26.2,0.4,1.37824,5.791160334258053e-07,10.1,121.0
939,132.0,52.8,26.2,0.4,1.33364,5.776964124475091e-07,10.0,121.0
940,132.0,53.5,26.3,0.4,1.28973,5.764347701610463e-07,9.9,121.0
941,132.0,54.3,26.3,0.4,1.24642,9.588624975836663e-07,9.8,121.0
942,132.0,55.1,26.3,0.4,1.20423,5.743339353629274e-07,9.7,121.0
943,132.0,55.9,26.4,0.3,1.16223,7.646177713991664e-07,9.6,121.0
944,132.0,56.7,26.4,0.3,1.12132,3.817915952398224e-07,9.5,121.0
945,132.0,57.5,26.4,0.3,1.08124,7.626675747495257e-07,9.5,121.0
946,132.0,58.3,26.4,0.3,1.04218,3.809324273490436e-07,9.4,121.0
947,132.0,59.1,26.4,0.3,1.00431,3.8058498957577713e-07,9.4,121.0
948,132.0,59.9,26.4,0.3,0.96786,1.901411798260208e-07,9.4,121.0
949,132.0,60.7,26.4,0.3,0.93277,3.8001645471248905e-07,9.5,121.0
950,132.0,61.5,26.4,0.3,0.89924,1.898933445041259e-07,9.6,121.0
951,132.0,62.3,26.4,0.3,0.86666,3.795931482677551e-07,9.7,121.0
952,132.0,63.1,26.4,0.3,0.83548,3.794370898996504e-07,9.8,121.0
953,132.0,63.8,26.4,0.3,0.80592,3.793234576471135e-07,10.0,121.0
954,132.0,64.5,26.34117647058824,0.3352941176470588,0.77681,3.7925728150276906e-07,10.2,120.0
955,132.0,65.2,26.34117647058824,0.3352941176470588,0.74896,3.7925728150276906e-07,10.5,120.0
956,132.0,65.9,26.34117647058824,0.3352941176470588,0.72272,3.792745426186064e-07,10.7,120.0
957,133.0,44.2,25.3,0.9,1.38907,1.2104057469803157e-06,8.2,121.0
958,133.0,44.9,25.4,0.8,1.33491,1.187391451276026e-06,8.1,121.0
959,133.0,45.7,25.4,0.8,1.27442,1.3424123103931567e-06,8.1,121.0
960,133.0,46.5,25.5,0.8,1.20892,1.158088916522892e-06,8.2,121.0
961,133.0,47.5,25.5,0.8,1.14475,1.1033969273753735e-06,8.2,121.0
962,133.0,48.4,25.6,0.7,1.08697,1.0173016949962937e-06,8.3,121.0
963,133.0,49.4,25.6,0.7,1.03702,1.1059759419265303e-06,8.3,121.0
964,132.0,50.5,25.7,0.7,0.99582,1.1620284771095465e-06,8.4,121.0
965,132.0,51.5,25.7,0.7,0.96358,1.0303196213818922e-06,8.4,121.0
966,132.0,52.6,25.8,0.6,0.93748,1.1487102963809168e-06,8.4,121.0
967,132.0,53.7,25.8,0.6,0.91413,1.20429120453021e-06,8.4,121.0
968,132.0,54.7,25.8,0.6,0.89227,9.830618444206326e-07,8.5,121.0
969,132.0,55.8,25.8,0.6,0.87041,9.323934644170528e-07,8.6,121.0
970,132.0,56.8,25.8,0.6,0.84828,8.215510738220235e-07,8.7,121.0
971,132.0,57.8,25.9,0.5,0.82617,7.573262529993149e-07,8.9,121.0
972,132.0,58.7,25.9,0.5,0.80579,7.088886369736646e-07,9.2,121.0
973,132.0,59.7,25.9,0.5,0.78737,7.060496133552138e-07,9.5,120.0
974,132.0,60.5,25.670588235294115,0.6705882352941177,0.77086,6.8839595481776e-07,9.8,120.0
975,132.0,61.4,25.670588235294115,0.6705882352941177,0.75591,6.8839595481776e-07,10.1,120.0
976,132.0,62.2,25.670588235294115,0.6705882352941177,0.7411,6.835418690792643e-07,10.4,120.0
977,114.0,18.4,22.9,15.1,17.4283,0.0001027151579265,58.6,106.0
978,114.0,18.9,23.0,14.8,17.32511,0.0001032183643592,58.5,106.0
979,114.0,19.4,23.1,14.6,17.24283,0.0001038123748964,58.4,106.0
980,114.0,19.9,23.2,14.3,17.12203,0.0001050559685672,58.3,106.0
981,114.0,20.5,23.2,14.0,17.04234,0.0001033412195143,58.2,106.0
982,114.0,21.0,23.3,13.7,16.93772,9.67263504073254e-05,58.0,106.0
983,115.0,21.6,23.4,13.4,16.81278,9.394331992888352e-05,57.8,106.0
984,115.0,22.3,23.5,13.2,16.64972,8.85714658440277e-05,57.4,106.0
985,115.0,22.9,23.5,12.9,16.3968,8.614702065913239e-05,57.1,106.0
986,115.0,23.7,23.6,12.6,16.10012,8.052842488381135e-05,56.7,107.0
987,115.0,24.4,23.7,12.4,15.77214,7.053851953237492e-05,56.3,107.0
988,116.0,25.2,23.7,12.1,15.38103,6.659626490091427e-05,55.9,107.0
989,116.0,26.1,23.8,11.9,14.98738,6.342017545005008e-05,55.4,107.0
990,116.0,27.0,23.8,11.7,14.60635,5.669742959459509e-05,54.9,107.0
991,116.0,27.9,23.9,11.4,14.23438,5.440641110799553e-05,54.4,107.0
992,116.0,28.8,23.9,11.2,13.8185,5.160273400667082e-05,54.0,108.0
993,117.0,29.7,24.0,11.0,13.4206,4.889157057555732e-05,53.6,108.0
994,117.0,30.7,23.5,12.958823529411765,13.08054,4.683298960928309e-05,53.2,108.0
995,117.0,31.6,23.5,12.958823529411765,12.69159,4.570448383556543e-05,52.8,108.0
996,117.0,32.6,23.5,12.958823529411765,12.33839,4.344699792106115e-05,52.4,108.0
997,125.0,46.2,25.6,2.6,2.30983,2.302599697857054e-06,31.6,116.0
998,125.0,47.2,25.7,2.5,2.28381,2.1069646982278743e-06,31.0,116.0
999,125.0,48.2,25.8,2.4,2.27453,3.383839249024556e-06,30.4,116.0
1000,125.0,49.1,25.9,2.4,2.27974,4.0331816220225305e-06,29.9,117.0
1001,125.0,50.0,26.0,2.3,2.29575,5.965199028865598e-06,29.3,117.0
1002,126.0,50.9,26.1,2.2,2.32046,4.703466732914283e-06,28.9,117.0
1003,126.0,51.8,26.2,2.2,2.3546,5.363111617293503e-06,28.7,117.0
1004,126.0,52.7,26.3,2.1,2.3934,5.811446957739804e-06,28.3,117.0
1005,126.0,53.6,26.5,2.0,2.85602,6.910191906826428e-06,27.9,117.0
1006,126.0,54.4,26.6,1.9,2.47917,8.882520434671553e-06,27.7,117.0
1007,126.0,55.2,26.7,1.9,2.51619,6.085865035075231e-06,27.4,117.0
1008,126.0,55.9,26.8,1.8,2.54496,5.669584467431944e-06,27.1,117.0
1009,126.0,56.6,27.0,1.8,2.56437,5.03179437725419e-06,26.9,117.0
1010,126.0,57.2,27.1,1.7,2.57143,5.487376728825476e-06,26.8,117.0
1011,126.0,57.8,27.2,1.6,2.56746,4.845136232016836e-06,26.8,117.0
1012,126.0,58.4,27.4,1.6,2.55146,5.082915613434986e-06,26.8,117.0
1013,126.0,58.9,27.5,1.5,2.52441,4.8793427259202216e-06,26.8,117.0
1014,126.0,59.3,26.49411764705882,2.0294117647058822,2.49414,4.674789372912624e-06,26.9,117.0
1015,126.0,59.7,26.49411764705882,2.0294117647058822,2.45726,4.45218035515488e-06,27.2,117.0
1016,126.0,60.1,26.49411764705882,2.0294117647058822,2.41668,4.262282946045106e-06,27.5,117.0
1017,132.0,53.5,26.3,0.6,1.24092,6.205612229154229e-07,9.7,120.0
